Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Africa,ZAF,..,..,0.89815,0.88287,0.88816,0.83562,0.73704,0.7342,0.73168,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Spain,ESP,..,0.88495,1.17217,1.23448,1.31708,1.35136,1.34964,1.31929,1.26916,1.24019,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sri Lanka,LKA,..,0.14392,0.1742,..,0.11444,..,0.15664,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Swaziland,SWZ,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sweden,SWE,..,..,3.50032,3.25661,3.49525,3.41574,3.21611,3.22403,3.28134,3.30158,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Switzerland,CHE,..,2.32683,..,..,2.72858,..,..,..,2.96353,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tajikistan,TJK,..,..,0.10732,0.06778,0.06983,0.08577,0.08914,0.12148,0.1142,0.1177,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tanzania,TZA,..,..,..,0.33994,..,..,0.38025,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Thailand,THA,..,0.25202,0.24919,0.21378,..,0.25056,..,0.38776,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Togo,TGO,..,..,..,..,..,..,0.25349,..,0.22083,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Trinidad and Tobago,TTO,..,0.12614,0.05526,0.04589,0.03072,0.05665,0.05137,0.04348,0.04856,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tunisia,TUN,..,0.414499998092651,0.67748,0.66591,0.63871,0.70726,0.68405,0.70645,0.67933,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turkey,TUR,..,0.47909,0.58016,0.72241,0.72518,0.84902,0.84343,0.85952,0.92196,0.94477,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uganda,UGA,..,..,0.30033,0.38821,0.32632,0.35906,0.47567,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ukraine,UKR,..,0.96213,0.94908,0.85319,0.84644,0.85644,0.83098,0.7378,0.75167,0.76175,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,0.49071,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United Kingdom,GBR,..,1.7311,1.65297,1.68789,1.68839,1.74501,1.69164,1.69253,1.6314,1.62529,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,United States,USA,..,2.6205,2.55002,2.62692,2.76683,2.81578,2.73716,2.76547,2.80604,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uruguay,URY,..,0.20925,0.35919,0.39948,0.36265,0.42266,0.39501,0.41679,0.23436,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Vietnam,VNM,..,..,..,..,..,..,..,0.19044,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,West Bank and Gaza,WBG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zambia,ZMB,..,..,..,..,0.27819,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/11/2016,,,,,,,,,,,,,,,
